,country,gini10,dem_level4,dem_rank14,dem_score14,lifeex_f,lifeex_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,fertility,govregrel,regionun,religoin,spendeduc,spendhealth,spendmil,hdi,pop_age,sexratio,pop_total,pop_urban,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,colony,confidence,decent08,dem_other,dem_other5,democ,democ11,democ_regime,democ_regime08,district_size3,durable,effectiveness,enpp3_democ,enpp3_democ08,dnpp_3,eu,fhrate04_rev,fhrate08_rev,frac_eth,frac_eth2,frac_eth3,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,free_overall_4,gdp08,gdp_10_thou,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gdppcap08,gdppcap08_3,gender_equal3,gini04,gini08,hi_gdp,indy,muslim,natcode,oecd,pmat12_3,polity,pr_sys,protact3,regime_type3,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,vi_rel3,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,womyear2,dem_economist,democ.yes,country1
69,Iceland,26.3,Full Democ,3,9.58,83.17,78.72,99,0,20.2,67.1,12.7,1.89,0,Europe,Other Christian,7.5,7.7,0,0.869,35.1,106,0.3,93.4,0.279,13,107,80.9,123.8,none,63.6285677,Legislature and executive are locally elected,100,100%,Yes,NA,Yes,Yes,6 or more members,NA,93.38061511,4-5 parties,4-5 parties,2,Not member,7,12,0.079800002,Low,Low,93,89,60,75.4,45.8,65,60.8,69.9,90,87.9,73.7,High,11.7,2.9749,High,High,High,High,High,36775,3,High,NA,NA,High GDP,1944,No,iceland,OECD Member state,High post-mat,NA,Yes,High,NA,1,70.69999695,127,59,NA,112,0.2,<20%,84.65,87.82138824,30.2,42.9,39.7,39.7,1915,1944 or before,1,100,Iceland
70,India,36.8,Part Democ,27,7.92,67.95,65.77,61,878700,29.7,64.9,5.5,2.62,4.722,Asia,Other,3.2,1.1,2.6,0.519,25,108.5,1214.5,30,0.748,122,108,66.8,55.9,UK,62.20531635,Legislature is elected but executive is appointed,58.3,Approx 60%,Yes,9,Yes,Yes,single member,50,43.49881808,6-11 parties,6-11 parties,3,Not member,5.5,9,0.418199986,Low,Medium,36.3,34,40,73.4,76.1,35,57.7,67.5,50,67.9,53.8,MidLow,3400,0.0487,Low,Low,Low,Low,Low,2972,1,NA,32.5,36.8,Low GDP,1947,No,india,Not member,Low post-mat,9,No,Moderate,Parliamentary democ,0,5.400000095,850,4.5,28.6,44,4.3,>50%,60.57,59.15737534,8.3,10.7,11,11,1950,After 1944,1,100,India
71,Indonesia,37.6,Part Democ,49,6.95,73.99,68.8,90.4,1023000,27.3,66.5,6.1,2.25,6.389,Asia,Muslim,3.5,1.2,1,0.6,28.2,104.1,232.5,44.3,0.68,100,109,71.33,26.4,Netherlands,50.53138477,Legislature and executive are locally elected,58.3,Approx 60%,Yes,8,Yes,Yes,6 or more members,1,33.33333328,4-5 parties,4-5 parties,2,Not member,4.5,9,0.735099971,High,High,53.1,26,40,81.9,89.1,35,50.8,70.8,30,77.9,55.5,MidLow,907.3,0.0817,Low,Low,Low,Mid,Low,3975,2,NA,34.3,34.3,Low GDP,1945,Yes,indonesia,Not member,NA,8,Yes,NA,Presidential democ,0,2.599999905,847,7.9,16.7,30,1.3,>50%,87.6,90.20630646,11.3,18.2,18.6,18.6,1945,After 1944,1,100,Indonesia
72,Iran,38.3,Authoritarian,158,1.98,71.61,68.58,77,4172000,24.1,70.9,5,1.88,10,Asia,Muslim,4.8,3,2.7,0.702,26.8,105.2,75.1,70.8,0.674,98,110,70.06,16.2,none,57.68535262,Legislature is elected but executive is appointed,10.5,10%,No,0,No,No,single member,3,35.69739933,NA,NA,1,Not member,2,2,0.66839999,High,High,69.9,23,10,81.1,79.6,NA,55.1,54.7,10,50.2,43.4,Low,839.4,0.1652,Low,Middle,Low,Low,Low,11666,2,Low,43,43,Low GDP,1979,Yes,iran,Not member,Moderate post-mat,-7,No,Low,Dictatorship,0,NA,3483,32,NA,16,0.4,>50%,NA,62.78083038,NA,NA,NA,3.1,1963,After 1944,0,0,Iran
73,Iraq,29.5,Hybrid,111,4.23,72.02,69.15,74.1,2399000,38,58.9,3.1,3.67,3.889,Asia,Muslim,NA,1.9,5.4,NA,19.3,106,31.5,66.2,0.751,123,111,70.55,NA,UK,NA,NA,10.5,10%,No,4,No,No,>1 to 5 members,76,7.801418778,NA,NA,NA,Not member,2,2,0.368900001,Low,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.7,NA,NA,NA,NA,NA,NA,3570,1,NA,NA,NA,NA,1932,Yes,iraq,Not member,NA,3,Yes,NA,Parliamentary democ,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,25.2,1980,After 1944,0,0,Iraq
74,Ireland,34.3,Full Democ,12,8.72,82.55,77.96,99,0,21.1,67.3,11.6,2.02,0,Europe,Catholic,4.9,6.1,0.6,0.895,34.6,106.4,4.6,61.9,0.344,29,112,80.19,94.2,UK,68.49764235,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,>1 to 5 members,79,84.86997647,1-3 parties,1-3 parties,1,EU Member state,7,12,0.1206,Low,Low,92.8,77,80,71.1,61.8,95,79,79,90,87.5,81.3,High,197.1,3.0982,High,High,High,High,High,44200,3,High,35.9,34.3,High GDP,1921,No,ireland,OECD Member state,Moderate post-mat,10,Yes,Moderate,Parliamentary democ,1,36,310,62.7,NA,146,0.2,20-50%,68.89,70.18080902,13.3,13.3,15.1,15.1,1918,1944 or before,1,100,Ireland
75,Israel,39.2,Part Democ,36,7.63,83.24,78.79,97.1,3806,27.6,62.2,10.1,2.7,3.889,Asia,Other,6.4,4.5,7,0.872,29.7,105.9,7.3,91.9,0.332,28,113,80.96,77.3,UK,NA,NA,10.5,10%,Yes,10,Yes,Yes,6 or more members,52,70.68557875,6-11 parties,6-11 parties,3,Not member,6,11,0.343600005,Low,Medium,66.4,60,70,58.4,35.4,85,65.4,78.2,70,87.8,67.7,High,201.3,1.5792,High,High,High,High,High,27548,3,High,35.5,39.2,High GDP,1948,No,israel,Not member,NA,10,Yes,NA,Parliamentary democ,1,23.10000038,175,47.9,NA,195,0.7,NA,71.16,83.20001984,15,17.5,21.7,21.7,1948,After 1944,1,100,Israel
76,Italy,36,Part Democ,29,7.85,84.53,79.16,98.4,146500,13.8,65.9,20.3,1.39,0,Europe,Catholic,4.3,6.7,1.7,0.854,43.3,105.5,60.1,68.4,0.251,9,115,81.77,118.1,none,37.01656993,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,NA,52,68.085107,6-11 parties,6-11 parties,3,EU Member state,7,11,0.114500001,Low,Low,77.9,48,60,55.2,31.2,75,58.2,79,55,87.5,62.7,MidHi,1800,2.0528,High,High,High,High,High,30756,3,Medium,36,36,High GDP,1861,No,italy,OECD Member state,High post-mat,10,No,High,Parliamentary democ,1,30.60000038,88,41.8,NA,52,0.1,20-50%,79.13,90.17718506,11.5,21.3,21.4,21.4,1945,After 1944,1,100,Italy
77,Jamaica,45.5,Part Democ,43,7.39,75.19,71.79,NA,0,30.1,62.3,7.6,2.17,0,Latin America/Caribbean,Other Christian,6.2,2.4,0.6,0.688,26.3,105.1,2.7,52,0.638,84,116,73.45,123.2,UK,NA,NA,87.5,Approx 90%,Yes,9,Yes,Yes,single member,41,44.91725768,1-3 parties,1-3 parties,1,Not member,5.5,9,0.412900001,Low,Medium,87,31,60,74.8,61.8,85,70,68.4,45,72.2,65.5,MidHi,20.7,0.3008,High,Middle,High,Mid,High,7705,2,NA,37.9,45.5,High GDP,1962,No,jamaica,Not member,NA,9,No,NA,Parliamentary democ,1,NA,1856,57.3,18.7,811,14.9,NA,49.56,46.72374344,11.7,13.3,12.7,12.7,1944,1944 or before,1,100,Jamaica
78,Japan,24.9,Full Democ,20,8.08,85.72,78.96,99,132700,13.1,64,22.9,1.21,0,Asia,Other,3.4,6.5,0.9,0.884,44.7,105.5,127,66.8,0.273,12,117,82.25,225.8,none,37.03375955,Legislature and executive are locally elected,58.3,Approx 60%,Yes,10,Yes,Yes,6 or more members,48,71.86761353,6-11 parties,6-11 parties,3,Not member,6.5,11,0.0119,Low,Low,84.5,73,50,67.2,61.1,60,82.4,88.8,80,82.4,72.9,High,4400,3.1407,High,High,High,High,High,34099,3,Medium,24.9,24.9,High GDP,NA,No,japan,OECD Member state,Moderate post-mat,10,No,Moderate,Parliamentary democ,1,18.60000038,152,75.2,NA,15,0,<20%,66.62,61.46362686,7.1,11.3,7.9,7.9,1945,After 1944,1,100,Japan
79,Jordan,37.7,Authoritarian,121,3.76,81.45,78.73,89.9,0,35.3,59.9,4.8,3.39,9.444,Asia,Muslim,4.9,5.4,5.9,0.681,22.8,104.4,6.5,78.5,0.616,76,119,80.05,61.4,UK,73.62869198,Legislature is elected but executive is appointed,10.5,10%,No,2,No,No,>1 to 5 members,11,55.08274265,NA,NA,NA,Not member,3.5,4,0.592599988,High,Medium,65.6,51,60,83,55.1,65,74.2,73.2,55,78.8,66.1,MidHi,31.2,0.1799,Low,Middle,Low,Mid,Low,5283,2,NA,36.4,38.8,Low GDP,1946,Yes,jordan,Not member,Moderate post-mat,-3,No,Low,Dictatorship,0,NA,1187,27,14.2,642,17.9,>50%,NA,30.63292122,NA,NA,NA,12,1974,After 1944,0,0,Jordan
80,Kazakhstan,30.9,Authoritarian,137,3.17,74.08,63.24,99.5,1540000,21.6,71,7.4,1.87,7.778,Asia,Orthodox Christian,2.8,2.5,1.2,0.714,29.4,105.2,15.8,58.5,0.575,67,120,68.51,16.2,Soviet Union,NA,NA,63,Approx 60%,No,0,No,No,single member,9,27.65957419,NA,NA,2,Not member,2.5,3,0.6171,High,High,73.5,22,50,87.9,82.1,30,83.1,65.6,30,85.9,61,MidHi,177.4,0.1656,Low,Middle,High,High,High,11315,2,NA,31.3,33.9,Low GDP,1991,No,kazakhstan,Not member,NA,-6,No,NA,Dictatorship,0,NA,1582,10.9,15.4,12,0.1,NA,NA,43.47338486,NA,NA,NA,24.3,1924,1944 or before,0,0,Kazakhstan
81,Kenya,47.7,Hybrid,97,5.13,60.07,58.91,85.1,0,42.2,55.1,2.7,4.19,0,Africa,Other Christian,7,2,1.9,0.47,18.4,101.5,40.9,22.2,0.738,117,121,59.48,50.9,UK,NA,NA,40.8,Approx 40%,Yes,8,Yes,Yes,single member,3,26.47754081,4-5 parties,4-5 parties,2,Not member,5,7,0.858799994,High,High,63.4,21,50,78.1,83.1,45,63.7,72.7,30,67.9,57.5,MidLow,61.3,0.0393,Low,Low,Low,Low,Low,1590,1,NA,44.5,42.5,Low GDP,1963,No,kenya,Not member,NA,8,No,NA,Presidential democ,0,16.89999962,3260,8.7,46.6,44,5.6,NA,NA,53.70254517,7.1,9.8,9.8,9.8,1919,1944 or before,0,100,Kenya
82,"Korea, North",NA,Authoritarian,167,1.08,72.93,65.03,99,118,22.4,68.6,9.1,2.02,9.167,Asia,NA,NA,3,NA,NA,34,105.4,24,60.2,NA,NA,123,68.89,NA,NA,NA,Legislature and executive are locally elected,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Korea, North"
83,"Korea, South",31.6,Full Democ,21,8.06,82.49,75.84,97.9,48180,15.7,72.9,11.4,1.23,0,Asia,Buddhist,4.2,3.5,2.8,0.877,37.9,110,48.5,83,0.31,20,124,79.05,23.7,NA,NA,Legislature is elected but executive is appointed,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,75.8,NA,63,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Korea, South"
84,Kuwait,NA,Authoritarian,120,3.78,78.3,75.95,93.3,2494000,25.8,72.2,2,2.64,7.222,Asia,Muslim,3.8,1.7,3.2,0.771,30.6,102.7,3.1,98.4,0.451,43,125,77.09,12.6,UK,NA,Legislature is elected but executive is appointed,10.5,10%,No,0,No,No,single member,8,50.35460984,NA,NA,NA,Not member,3.5,6,0.660399973,High,High,65.8,43,50,99.9,76.6,55,88,66.4,50,82.5,67.7,High,137.4,1.5193,High,High,High,High,High,39914,3,NA,NA,NA,High GDP,1961,Yes,kuwait,Not member,NA,-7,No,NA,Dictatorship,0,NA,601,36.7,NA,NA,NA,NA,NA,20.65459061,NA,NA,NA,6.2,NA,NA,0,0,Kuwait
85,Kyrgyzstan,33.5,Hybrid,95,5.24,74.24,66.04,98.7,979.1,29.3,65.4,5.3,2.63,2.222,Asia,Muslim,6.6,3.5,3.7,0.598,25.1,104.8,5.6,34.6,0.56,63,126,70.04,NA,Soviet Union,NA,Legislature is elected but executive is appointed,63,Approx 60%,Yes,7,No,Yes,single member,9,27.42316779,NA,NA,NA,Not member,2.5,5,0.675199986,High,High,76.6,18,50,92.9,80.2,50,82.6,62.2,25,75.9,61.3,MidHi,11.5,0.032,Low,Low,Low,Low,Low,2188,1,NA,29,30.3,Low GDP,1991,Yes,kyrgyzstan,Not member,NA,7,No,NA,Dictatorship,0,NA,1576,16.1,43.1,234,24.4,NA,NA,58.20768356,NA,NA,23.3,23.3,1918,1944 or before,0,0,Kyrgyzstan
86,Laos,32.6,Authoritarian,157,2.21,64.36,60.5,73,0,36.7,59.6,3.7,3.14,7.778,Asia,Buddhist,2.3,0.8,0.4,0.497,20.6,104.3,6.4,33.2,0.65,88,127,62.39,NA,France,NA,Legislature is elected but executive is appointed,58.3,Approx 60%,No,0,No,No,>1 to 5 members,25,27.65957419,NA,NA,NA,Not member,1.5,1,0.513899982,High,Medium,59.4,20,20,80.1,90.3,25,58.9,73.5,15,68.4,51.1,Low,13.2,0.0304,Low,Low,Low,Low,Low,2134,1,NA,37,34.6,Low GDP,1949,No,laos,Not member,NA,-7,No,NA,Dictatorship,0,NA,8691,8.5,33.5,0,0,NA,NA,NA,NA,NA,NA,NA,1958,After 1944,0,0,Laos
87,Latvia,36.3,Part Democ,39,7.48,78.07,67.56,99.7,0,13.5,69.5,16.9,1.32,1.667,Europe,Catholic,5,3.6,1.9,0.769,40,105.5,2.2,67.7,0.316,22,128,72.68,46.2,Soviet Union,39.22006628,NA,63,Approx 60%,Yes,8,Yes,Yes,6 or more members,9,62.41134791,6-11 parties,6-11 parties,3,EU Member state,6.5,11,0.586700022,High,Medium,72.9,50,50,82.7,57.4,80,59.1,67,55,87.5,66.2,MidHi,38.7,0.3595,High,Middle,High,High,High,17100,3,Medium,32.4,37.7,High GDP,1991,No,latvia,Not member,Moderate post-mat,8,Yes,High,Parliamentary democ,1,NA,809,60.4,5.9,265,1.8,<20%,50.18,63.1038475,21,20,23,23,1918,1944 or before,1,100,Latvia
88,Lebanon,NA,Hybrid,98,5.12,76.62,73.48,87.4,0,23,68,9,1.77,3.056,Asia,Muslim,2,3.9,3.9,NA,29.2,104,4.3,87.2,NA,NA,129,75.01,150.7,France,NA,Legislature is elected but executive is appointed,10.5,10%,No,8,No,No,6 or more members,0,36.87943271,NA,NA,3,Not member,2.5,5,0.131400004,Low,Low,56.6,30,60,91.6,62.8,55,57,71.4,30,80.5,59.5,MidHi,47.9,0.3894,High,High,High,Mid,High,11570,2,NA,NA,NA,High GDP,1943,Yes,lebanon,Not member,NA,7,No,NA,Dictatorship,0,NA,215,22.5,NA,1712,24.5,NA,NA,60.2446022,NA,NA,NA,3.1,1952,After 1944,0,0,Lebanon
89,Lesotho,52.5,Part Democ,60,6.66,51.76,51.51,84.8,0,33.5,61.1,5.4,2.94,0,Africa,Orthodox Christian,12.4,3.6,1.6,0.427,19.8,101.4,2.1,26.9,0.685,102,130,51.63,NA,UK,NA,NA,40.8,Approx 40%,No,8,Yes,No,single member,0,40.42553214,1-3 parties,NA,1,Not member,5.5,9,0.254999995,Low,Low,62,32,40,52,30,25,66.1,70.3,40,63.5,48.1,Low,3.2,0.0402,Low,Low,Low,Low,Low,1588,1,NA,63.2,63.2,Low GDP,1966,No,lesotho,Not member,NA,8,No,NA,Parliamentary democ,0,NA,1733,3.6,56.3,214,27,NA,38.63,60.65416336,11.7,25,NA,26.7,1965,After 1944,1,100,Lesotho
90,Liberia,52.6,Hybrid,101,4.95,58.6,55.44,57.5,0,44.3,52.7,2.9,5.13,0,Africa,Other Christian,2.7,2.8,0.6,0.3,18.5,102.1,4.1,47.8,0.766,131,131,57,NA,UK,NA,NA,40.8,Approx 40%,Yes,7,No,Yes,NA,3,10.87470472,NA,NA,NA,Not member,3.5,7,0.908399999,High,High,52.8,24,20,67.8,82.3,20,51.3,65.4,25,53.8,46.2,Low,1.5,0.0171,Low,Low,Low,Low,Low,388,1,NA,NA,NA,Low GDP,1847,No,liberia,Not member,NA,6,No,NA,Dictatorship,0,NA,3900,0.5,NA,15,6.9,NA,NA,NA,NA,NA,11,11,1946,After 1944,0,0,Liberia
91,Libya,NA,Authoritarian,119,3.8,80.08,75.34,82.6,1790000,32.8,62.7,4.6,2.96,8.611,Africa,Muslim,2.7,1.9,1.3,0.755,26.2,104.9,6.5,77.9,0.504,52,132,77.65,3.3,Other,NA,Legislature and executive are locally elected,10.5,10%,No,NA,No,No,NA,49,26.00472802,NA,NA,NA,Not member,1,0,0.791999996,High,High,20,26,20,81.7,62.8,10,20,66.4,10,85,40.2,Low,96.7,0.3512,High,Middle,High,High,High,15402,3,NA,NA,NA,High GDP,1951,Yes,libya arab jamahiriy,Not member,NA,NA,No,NA,Dictatorship,0,NA,3130,5.1,NA,3,0,NA,NA,NA,NA,NA,NA,16.5,1964,After 1944,0,0,Libya
92,Lithuania,35.8,Part Democ,38,7.54,80.48,70.48,99.6,6333,13.8,69.7,16.5,1.25,0,Europe,Catholic,4.7,4.5,1.5,0.783,39.8,105.3,3.3,67,0.359,33,134,75.34,36.7,Soviet Union,48.12608588,Legislature and executive are locally elected,63,Approx 60%,Yes,10,Yes,Yes,NA,9,60.99290814,4-5 parties,4-5 parties,2,EU Member state,6,12,0.322299987,Low,Medium,82,46,80,84.6,63.5,75,58.5,70.8,55,87.5,70.3,High,63.2,0.3977,High,High,High,High,High,18824,3,Medium,31.9,36,High GDP,1990,No,lithuania,Not member,Low post-mat,10,No,High,NA,1,NA,703,54.4,NA,435,3.1,<20%,46.15,66.4932785,22,17.7,24.5,24.5,1921,1944 or before,1,100,Lithuania
93,Luxembourg,26,Full Democ,11,8.88,83.08,76.36,100,0,18.2,66.9,14.9,1.77,0,Europe,Catholic,3.7,6.5,NA,0.852,39.3,106.5,0.5,85.2,0.318,24,135,79.61,16.2,Netherlands,NA,NA,100,100%,Yes,NA,Yes,Yes,6 or more members,NA,96.92671665,4-5 parties,4-5 parties,2,EU Member state,7,12,0.530200005,High,Medium,75.1,83,80,65.9,58.5,95,40.4,78.9,90,87.5,75.4,High,38.3,4.7354,High,High,High,High,High,78599,3,NA,30.8,31,High GDP,1839,No,luxembourg,OECD Member state,NA,NA,Yes,NA,Parliamentary democ,1,39.5,280,79.2,NA,3527,3.2,<20%,56.5,60.52085114,23.3,20,21.7,21.7,1919,1944 or before,1,100,Luxembourg
94,Macedonia,42.8,Part Democ,72,6.25,77.87,72.61,96.1,0,18.5,70,11.6,1.58,0,Europe,Orthodox Christian,3.5,4.7,1.8,0.701,36,107.9,2,59.3,NA,NA,136,75.14,34.2,Soviet Union,12.33005157,Legislature and executive are locally elected,63,Approx 60%,Yes,9,Yes,Yes,single member,9,37.3522462,NA,NA,NA,Not member,5,8,NA,NA,NA,65.2,36,60,89.3,65.9,60,83.1,79,35,83.3,65.7,MidHi,20.5,0.186,Low,Middle,High,Mid,High,10041,2,Medium,28.2,39,Low GDP,1991,No,macedonia,Not member,Low post-mat,9,Yes,Low,Parliamentary democ,0,NA,1596,41.5,21.7,199,4.3,20-50%,NA,63.53277206,NA,28.3,NA,NA,1946,After 1944,1,100,Macedonia
95,Madagascar,47.2,Hybrid,110,4.42,65.7,61.62,68.9,0,43.1,53.8,3,5.02,1.389,Africa,Other Christian,2.9,2.7,1.1,0.435,18.4,101.4,20.1,30.2,NA,NA,137,63.63,NA,France,NA,Legislature and executive are locally elected,40.8,Approx 40%,Yes,4,Yes,Yes,>1 to 5 members,2,37.58865259,4-5 parties,4-5 parties,2,Not member,5,7,0.502300024,High,Medium,71.9,34,50,87.3,88.8,60,46.9,75.4,45,73.2,63.2,MidHi,20,0.0268,Low,Low,Low,Low,Low,1049,1,NA,47.5,47.5,Low GDP,1960,No,madagascar,Not member,NA,3,No,NA,NA,0,NA,954,1.7,68.7,1,0.1,NA,NA,51.1702652,6.9,NA,17.5,17.5,1959,After 1944,0,100,Madagascar
96,Malawi,39,Hybrid,89,5.66,52.48,50.93,62.7,0,45.1,52.2,2.7,5.43,0,Africa,Other Christian,4.2,5.9,NA,0.385,16.8,102.2,15.7,19.8,0.758,126,138,51.7,40.4,UK,NA,No local elections,40.8,Approx 40%,Yes,6,Yes,Yes,single member,6,30.49645373,1-3 parties,1-3 parties,1,Not member,4,6,0.879100025,High,High,44.8,28,50,78.9,45.8,50,59.3,71,45,68.6,54.1,MidLow,11.9,0.0177,Low,Low,Low,Low,Low,837,1,NA,50.3,39,Low GDP,1964,No,malawi,Not member,NA,6,No,NA,Presidential democ,0,NA,2007,2.1,52.4,0,0,NA,NA,68.16228485,14,20.8,22.3,22.3,1961,After 1944,0,100,Malawi
97,Malaysia,37.9,Part Democ,65,6.49,76.73,71.05,88.7,693700,29.6,65.4,5,2.67,8.611,Asia,Muslim,4.5,1.9,2,0.744,26.3,105.8,27.9,72.2,0.493,50,139,73.79,53.1,UK,NA,NA,58.3,Approx 60%,No,6,No,No,single member,29,68.3215134,NA,NA,NA,Not member,4,6,0.674399972,High,High,69.9,51,50,84.3,81.3,30,71.4,76.7,55,78.7,64.8,MidHi,383.7,0.3905,High,High,High,Mid,High,14215,3,Medium,49.2,49.2,High GDP,1957,Yes,malaysia,Not member,NA,6,No,NA,Dictatorship,0,NA,203,55.8,NA,71,0.9,NA,NA,63.32676697,NA,NA,NA,10.4,1957,After 1944,1,0,Malaysia
98,Mali,39,Hybrid,83,5.79,54.26,51.01,46.4,0,47.3,49.7,3,6.44,0,Africa,Muslim,3.8,2.9,1.9,0.309,17.6,102.2,13.3,35.9,0.799,135,141,52.61,NA,France,NA,Legislature and executive are locally elected,40.8,Approx 40%,Yes,7,Yes,Yes,single member,8,26.71394861,1-3 parties,1-3 parties,1,Not member,6,9,0.690599978,High,High,47.5,31,40,60.2,81.1,50,67.9,73.8,35,69.6,55.6,MidLow,14.3,0.0296,Low,Low,Low,Low,Low,1128,1,NA,50.5,40.1,Low GDP,1960,Yes,mali,Not member,NA,7,No,NA,NA,0,13.69999981,1233,1.6,NA,27,3.9,NA,38.96,24.17030334,10.2,10.2,10.2,10.2,1956,After 1944,0,100,Mali
99,Malta,27.4,Full Democ,15,8.39,82.12,77.45,NA,0,15.7,68.5,15.8,1.52,0,Europe,Catholic,4.8,5.8,0.7,0.815,39,106,0.4,94.7,0.395,35,142,79.72,69.1,UK,NA,Legislature is elected but executive is appointed,100,100%,Yes,NA,Yes,Yes,NA,NA,73.99527108,1-3 parties,1-3 parties,1,EU Member state,7,12,0.0414,Low,Low,70,58,60,62.5,45.6,70,60,78.1,80,87.5,67.2,MidHi,9.8,0.9748,High,High,NA,NA,NA,23760,3,Low,NA,NA,High GDP,1964,No,malta,Not member,NA,NA,Yes,NA,Parliamentary democ,1,57.90000153,287,48.3,NA,121,0.6,>50%,98.39,96.67327881,9.2,8.7,8.7,8.7,1947,After 1944,1,100,Malta
100,Mauritania,39,Hybrid,112,4.17,63.41,58.94,51.2,16510,40.4,56.2,3.5,4.3,7.778,Africa,Muslim,4.4,1.6,3.7,0.433,20.1,106.3,3.4,41.4,0.738,118,146,61.14,NA,France,NA,NA,40.8,Approx 40%,No,0,No,No,single member,38,42.78959819,NA,NA,1,Not member,2.5,3,0.61500001,High,High,48.3,28,40,75.1,73.4,30,52.5,78,25,69.9,52,MidLow,6.2,0.0348,Low,Low,Low,Low,Low,2052,1,NA,39,39,Low GDP,1960,Yes,mauritania,Not member,NA,-2,No,NA,Dictatorship,0,2.700000048,1100,1.9,46.3,1,0.1,NA,NA,58.59610367,NA,NA,NA,22.1,1961,After 1944,0,0,Mauritania
101,Mauritius,35.9,Full Democ,17,8.17,78.12,71.01,84.4,0,21.8,70.7,7.5,1.79,2.5,Africa,Other,3.6,2,0.2,0.701,32.6,103.7,1.3,41.8,0.466,46,147,74.48,60.5,UK,NA,Legislature and executive are locally elected,40.8,Approx 40%,Yes,10,Yes,Yes,>1 to 5 members,32,59.10165417,4-5 parties,4-5 parties,2,Not member,7,11,0.463400006,High,Medium,82.2,55,70,92.5,83.4,85,78.5,71.2,60,85.6,76.3,High,15.3,0.374,High,Middle,High,Mid,High,12079,2,NA,NA,NA,High GDP,1968,No,mauritius,Not member,NA,10,No,NA,Parliamentary democ,1,25.89999962,225,22.2,NA,179,2.3,NA,79.57,79.76822662,5.7,17.1,18.8,18.8,1956,After 1944,1,100,Mauritius
102,Mexico,51.6,Part Democ,57,6.68,79.43,73.65,86.1,3001000,28.2,65.2,6.6,2.29,3.056,Latin America/Caribbean,Catholic,4.8,2.7,0.5,0.75,27.6,104.3,110.6,77.8,0.576,68,149,76.47,41.5,Spain,26.04038779,Legislature and executive are locally elected,100,100%,Yes,8,Yes,Yes,NA,3,50.11820345,1-3 parties,1-3 parties,1,Not member,6,9,0.541800022,High,Medium,83,36,60,83.5,85.2,65,61.9,76.3,50,82,68.3,High,1500,0.632,High,High,High,High,High,14495,3,Medium,54.6,46.1,High GDP,1810,No,mexico,OECD Member state,High post-mat,8,No,Moderate,Presidential democ,1,31,368,22.2,47,247,2.4,>50%,63.62,59.31559372,22.6,28.2,36.8,36.8,1947,After 1944,1,100,Mexico
103,Moldova,37.4,Part Democ,69,6.32,75.28,67.68,99.1,0,15.5,74,10.4,1.29,1.667,Europe,Orthodox Christian,8.2,5.2,0.6,0.623,35.2,105.8,3.6,47,0.429,40,151,71.37,25,Soviet Union,42.19170898,NA,63,Approx 60%,Yes,8,Yes,Yes,single member,9,31.67848711,4-5 parties,4-5 parties,2,Not member,4.5,6,0.553499997,High,Medium,70.2,29,50,85.1,43,30,42.7,67.5,40,79.9,53.7,MidLow,10.6,0.0382,Low,Low,Low,Low,Low,2925,1,Low,36.2,33.2,Low GDP,1991,No,"moldova, republic of",Not member,Low post-mat,8,Yes,Low,NA,0,NA,1516,23.4,48.5,522,31.4,20-50%,NA,59.27751541,15.8,NA,19.8,19.8,1978,After 1944,1,100,Moldova
